BufCapacity, cons_prod, prod, cons, Length 
1, 10, 2, 8, 14
1, 10, 2, 8, 15
1, 10, 3, 7, 14
1, 10, 3, 7, 15
1, 10, 4, 6, 14
1, 10, 4, 6, 15
1, 10, 5, 5, 14
1, 10, 5, 5, 15
1, 10, 6, 4, 14
1, 10, 6, 4, 15
1, 10, 7, 3, 14
1, 10, 7, 3, 15
1, 10, 8, 2, 14
1, 10, 8, 2, 15
1, 11, 3, 8, 15
1, 11, 3, 8, 16
1, 11, 4, 7, 15
1, 11, 4, 7, 16
1, 11, 5, 6, 15
1, 11, 5, 6, 16
1, 11, 6, 5, 15
1, 11, 6, 5, 16
1, 11, 7, 4, 15
1, 11, 7, 4, 16
1, 11, 8, 3, 15
1, 11, 8, 3, 16
1, 12, 4, 8, 16
1, 12, 4, 8, 17
1, 12, 5, 7, 16
1, 12, 5, 7, 17
1, 12, 6, 6, 16
1, 12, 6, 6, 17
1, 12, 7, 5, 16
1, 12, 7, 5, 17
1, 12, 8, 4, 16
1, 12, 8, 4, 17
1, 13, 5, 8, 17
1, 13, 5, 8, 18
1, 13, 6, 7, 17
1, 13, 6, 7, 18
1, 13, 7, 6, 17
1, 13, 7, 6, 18
1, 13, 8, 5, 17
1, 13, 8, 5, 18
1, 14, 6, 8, 18
1, 14, 6, 8, 19
1, 14, 7, 7, 18
1, 14, 7, 7, 19
1, 14, 8, 6, 18
1, 14, 8, 6, 19
1, 15, 7, 8, 19
1, 15, 7, 8, 20
1, 15, 8, 7, 19
1, 15, 8, 7, 20
1, 16, 8, 8, 20
1, 16, 8, 8, 21
1, 3, 1, 2, 7
1, 3, 2, 1, 8
1, 4, 1, 3, 8
1, 4, 2, 2, 8
1, 4, 2, 2, 9
1, 4, 3, 1, 9
1, 5, 1, 4, 9
1, 5, 2, 3, 10
1, 5, 2, 3, 9
1, 5, 3, 2, 10
1, 5, 3, 2, 9
1, 5, 4, 1, 10
1, 6, 1, 5, 10
1, 6, 2, 4, 10
1, 6, 2, 4, 11
1, 6, 3, 3, 10
1, 6, 3, 3, 11
1, 6, 4, 2, 10
1, 6, 4, 2, 11
1, 6, 5, 1, 11
1, 7, 1, 6, 11
1, 7, 2, 5, 11
1, 7, 2, 5, 12
1, 7, 3, 4, 11
1, 7, 3, 4, 12
1, 7, 4, 3, 11
1, 7, 4, 3, 12
1, 7, 5, 2, 11
1, 7, 5, 2, 12
1, 7, 6, 1, 12
1, 8, 1, 7, 12
1, 8, 2, 6, 12
1, 8, 2, 6, 13
1, 8, 3, 5, 12
1, 8, 3, 5, 13
1, 8, 4, 4, 12
1, 8, 4, 4, 13
1, 8, 5, 3, 12
1, 8, 5, 3, 13
1, 8, 6, 2, 12
1, 8, 6, 2, 13
1, 8, 7, 1, 13
1, 9, 1, 8, 13
1, 9, 2, 7, 13
1, 9, 2, 7, 14
1, 9, 3, 6, 13
1, 9, 3, 6, 14
1, 9, 4, 5, 13
1, 9, 4, 5, 14
1, 9, 5, 4, 13
1, 9, 5, 4, 14
1, 9, 6, 3, 13
